Lat , Long 
36.9999456,-122.06234664
36.9999456,-122.06234664
36.9999674725,-122.062304585
36.999989948,-122.062260373
37.0000176574,-122.062216263
37.0000124329,-122.062170625
37.0000293251,-122.062121623
37.000029896,-122.062072286
37.0000444042,-122.062022326
37.0000656051,-122.061969326
37.000088706,-122.061917148
37.0001128563,-122.06186217
37.0001389073,-122.061807029
37.0001614669,-122.061806834
37.0001865257,-122.061769449
37.0002151258,-122.061725638
37.0002370734,-122.061681478
37.0002389501,-122.061628263
37.0002573903,-122.061581729
37.0002685399,-122.061573163
37.0002870843,-122.06153803
37.0003139491,-122.061498914
37.0003404674,-122.061458707
37.0003485807,-122.061417174
37.0003734737,-122.061368331
37.0004015197,-122.061348657
37.0004137478,-122.061310901
37.0004387001,-122.061269374
37.0004431363,-122.061266665
37.0004377056,-122.061235685
37.0004416779,-122.061201943
37.0004644075,-122.061167303
37.0004864954,-122.061126448
37.0005065568,-122.061105789
37.0005324868,-122.061072687
37.0005265648,-122.061037262
